book title	Jad's rating	my rating
Simply Christian: Why Christianity Makes Sense  by N.T. Wright	4 of 5 stars	to-read
Sex God: Exploring the Endless Connections Between Sexuality and Spirituality  by Rob Bell	4 of 5 stars	to-read
Pilgrim at Tinker Creek  by Annie Dillard	to-read	2 of 5 stars
The Irresistible Revolution: Living as an Ordinary Radical  by Shane Claiborne	5 of 5 stars	3 of 5 stars
Celebration of Discipline: The Path to Spiritual Growth  by Richard J. Foster	5 of 5 stars	to-read
Orthodoxy  by G.K. Chesterton	to-read	to-read
The Cost of Discipleship  by Dietrich Bonhoeffer	4 of 5 stars	to-read
Linchpin: Are You Indispensable?  by Seth Godin	3 of 5 stars	to-read
My Utmost for His Highest: Selections for the Year  by Oswald Chambers	4 of 5 stars	to-read
Wild at Heart  by John Eldredge	3 of 5 stars	5 of 5 stars
A Grief Observed  by C.S. Lewis	3 of 5 stars	4 of 5 stars
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality  by Donald Miller	5 of 5 stars	1 of 5 stars
The Great Divorce  by C.S. Lewis	4 of 5 stars	5 of 5 stars
Ender's Shadow  by Orson Scott Card	4 of 5 stars	3 of 5 stars
Left Behind  by Tim F. LaHaye	3 of 5 stars	to-read
The Purpose Driven Life: What on Earth Am I Here for?  by Rick Warren	3 of 5 stars	3 of 5 stars
The Canterbury Tales  by Geoffrey Chaucer	3 of 5 stars	2 of 5 stars
The Omnivore's Dilemma  by Michael Pollan	to-read	to-read
Things Fall Apart  by Chinua Achebe	4 of 5 stars	1 of 5 stars
Oh, The Places You'll Go!  by Dr. Seuss	4 of 5 stars	to-read
All Quiet on the Western Front  by Erich Maria Remarque	3 of 5 stars	3 of 5 stars
The Screwtape Letters  by C.S. Lewis	4 of 5 stars	5 of 5 stars
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back  by Todd Burpo	3 of 5 stars	4 of 5 stars
Blink: The Power of Thinking Without Thinking  by Malcolm Gladwell	4 of 5 stars	4 of 5 stars
Extremely Loud and Incredibly Close  by Jonathan Safran Foer	to-read	to-read
The Scarlet Letter  by Nathaniel Hawthorne	3 of 5 stars	2 of 5 stars
One Hundred Years of Solitude  by Gabriel Garcí­a Márquez	to-read	to-read
Ender's Game  by Orson Scott Card	4 of 5 stars	5 of 5 stars
The Curious Incident of the Dog in the Night-Time  by Mark Haddon	4 of 5 stars	4 of 5 stars
The Adventures of Huckleberry Finn  by Mark Twain	3 of 5 stars	4 of 5 stars
Brave New World  by Aldous Huxley	3 of 5 stars	4 of 5 stars
The Alchemist  by Paulo Coelho	4 of 5 stars	4 of 5 stars
Harry Potter and the Half-Blood Prince  by J.K. Rowling	4 of 5 stars	4 of 5 stars
Harry Potter and the Chamber of Secrets  by J.K. Rowling	3 of 5 stars	4 of 5 stars
Harry Potter and the Goblet of Fire  by J.K. Rowling	4 of 5 stars	5 of 5 stars
Harry Potter and the Deathly Hallows  by J.K. Rowling	4 of 5 stars	4 of 5 stars
Harry Potter and the Order of the Phoenix  by J.K. Rowling	4 of 5 stars	5 of 5 stars
Harry Potter and the Prisoner of Azkaban  by J.K. Rowling	3 of 5 stars	5 of 5 stars
The Kite Runner  by Khaled Hosseini	5 of 5 stars	to-read
Animal Farm  by George Orwell	3 of 5 stars	to-read
1984  by George Orwell	3 of 5 stars	3 of 5 stars
The Hobbit  by J.R.R. Tolkien	4 of 5 stars	5 of 5 stars
The Great Gatsby  by F. Scott Fitzgerald	3 of 5 stars	2 of 5 stars
To Kill a Mockingbird  by Harper Lee	4 of 5 stars	3 of 5 stars
To Kill a Mockingbird  by Harper Lee	4 of 5 stars	to-read
Harry Potter and the Sorcerer's Stone  by J.K. Rowling	3 of 5 stars	4 of 5 stars
