Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2767052,"The Hunger Games (The Hunger Games, #1)","Suzanne Collins","Collins, Suzanne","",="0439023483",="9780439023481",0,"4.38","Scholastic Press","Hardcover","374",2008,2008,,2015/06/07,"currently-reading","currently-reading (#9)","currently-reading",,"",,,,,0,,,,,
11887020,"American Sniper","Chris Kyle","Kyle, Chris","Scott McEwen, Jim DeFelice",="0062107062",="9780062107060",1,"3.97","HarperCollins","Paperback","528",2012,2011,2015/05/07,2015/06/07,"","","read","Sure, the writing style is simple and good ole boy like. There is nothing wrong with that. No one picks this up expecting William Faulkner. <br/><br/>But the content was so distasteful that its hard to read. It could have been an interesting book with great stories from the field. But it seemed to all be about how bad ass Chris is and how everyone else is inadequate. He is extremely vulgar, disrespectful of human life, and stuck on how evil anyone from a different culture is. <br/><br/>This is one of those books that some people will love and others will hate. I happen to hate it. Its not like I haven't heard talk like this before, I just didn't expect it in a book like this. A camp fire with your friends, maybe, but not when you publish a work representing your country and some of the bravest men in the world.  The sexist, racist, vulgar, and megalomaniac crap that is weaved into every single story ruined this book. I was very disappointed. ","","","","","",0,,,,,
68429,"The Well of Ascension (Mistborn, #2)","Brandon Sanderson","Sanderson, Brandon","",="0765316889",="9780765316882",2,"4.33","Tor Books","Hardcover","590",2007,2007,2015/05/09,2015/06/07,"","","read","You could just skip to the last two chapters and get the whole story. The rest of the book seemed like a bunch of stalling. All the good fight scenes happen at the end. There are some really great parts but it really drags and stalls a ton. I was really disappointed after loving the first book. ","","","","","",0,,,,,
68428,"The Final Empire (Mistborn, #1)","Brandon Sanderson","Sanderson, Brandon","",="076531178X",="9780765311788",4,"4.40","Tor Books","Hardcover","541",2006,2006,2015/04/30,2015/04/30,"","","read","Awesome magic. Makes me want to be more observant and charming. Great action scenes. ","",,,,,0,,,,,
4407,"American Gods (American Gods, #1)","Neil Gaiman","Gaiman, Neil","",="0747263744",="9780747263746",3,"4.10","Headline Review","Paperback","656",2005,2001,2014/12/01,2015/04/05,"","","read","It had tons of potential but did not live up. Some parts were slow and seemed superfluous. Definitely readable and it always keeps you wondering what will happen and the twist is quite good.  Some very interesting characters for sure and some great pieces of story telling but I did not feel like the parts came together to make a great whole. I felt the main character lacked depth and that bugged me.","","","","","",0,,,,,
2213661,"The Graveyard Book","Neil Gaiman","Gaiman, Neil","Dave McKean",="0060530928",="9780060530921",0,"4.09","HarperCollins","Hardcover","312",2008,2007,,2015/04/05,"to-read","to-read (#131)","to-read",,"",,,,,0,,,,,
52036,"Siddhartha","Hermann Hesse","Hesse, Hermann","Hilda Rosner",="0553208845",="9780553208849",0,"3.95","Bantam Books","Paperback","152",1981,1922,,2015/03/07,"to-read","to-read (#130)","to-read",,"",,,,,0,,,,,
1760630,"Self-Reliance","Ralph Waldo Emerson","Emerson, Ralph Waldo","",="1604500093",="9781604500097",5,"4.03","Arc Manor","Paperback","52",2007,1967,2014/12/30,2015/03/07,"","","read","","","","","","",0,,,,,
7677,"Jurassic Park (Jurassic Park, #1)","Michael Crichton","Crichton, Michael","",="030734813X",="9780307348135",4,"3.88","","Mass Market Paperback","480",2006,1990,2015/05/20,2015/03/07,"","","read","I thought I read this book when I was little, but that must have been the sequel. Whoops. This one is pretty great. Its not the best Action Adventure book ever like I see on some of the lists, but still really good. I think it would be way better if I had not of seen the movie a few times. I actually like the characters in the movie better than in the book. The movie has some slight changes that I think add a lot. ","","","","","",0,,,,,
1713426,"Predictably Irrational: The Hidden Forces That Shape Our Decisions","Dan Ariely","Ariely, Dan","",="006135323X",="9780061353239",0,"4.06","HarperCollins Canada ","Hardcover","280",2008,2007,,2015/03/07,"to-read","to-read (#129)","to-read",,"",,,,,0,,,,,
227113,"Walking","Henry David Thoreau","Thoreau, Henry David","",="1596058811",="9781596058811",3,"4.02","Cosimo Classics","Paperback","60",2006,1862,2014/11/01,2015/03/07,"","","read","Yes, walking in nature certainly is good for the soul. I enjoyed his appreciation of the small and un-grand parts of nature. ","","","","","",0,,,,,
238727,"My First Summer in the Sierra","John Muir","Muir, John","",="0486437353",="9780486437354",0,"4.11","Dover Publications","Paperback","160",2004,1911,,2015/03/07,"to-read","to-read (#128)","to-read",,"",,,,,0,,,,,
759611,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","Jr., Bill Martin","Eric Carle",="0805047905",="9780805047905",5,"4.16","Henry Holt and Co. (BYR)","Board Book","24",1996,1967,,2015/03/07,"","","read","","","","","","",0,,,,,
7784,"The Lorax","Dr. Seuss","Seuss, Dr.","",="0679889108",="9780679889106",5,"4.35","Random House Books for Young Readers","Hardcover","72",1998,1971,,2015/03/07,"","","read","","","","","","",0,,,,,
862041,"Harry Potter Boxset (Harry Potter, #1-7)","J.K. Rowling","Rowling, J.K.","",="0545044251",="9780545044257",5,"4.73","Arthur A. Levine Books","Hardcover","4100",2007,1998,,2015/03/07,"","","read","","","","","","",0,,,,,
30,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien","Tolkien, J.R.R.","",="0345538374",="9780345538376",0,"4.58","Ballantine Books","Mass Market Paperback","1728",2012,1973,,2015/03/07,"currently-reading","currently-reading (#7)","currently-reading",,"",,,,,0,,,,,
23772,"Green Eggs and Ham","Dr. Seuss","Seuss, Dr.","",="0394800168",="9780394800165",5,"4.29","Random House Books for Young Readers","Hardcover","62",1960,1960,2000/01/01,2015/03/07,"","","read","","","","","","",0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis","Lewis, C.S.","Pauline Baynes",="0066238501",="9780066238500",4,"4.22","HarperCollins","Paperback","767",2002,1949,,2015/03/07,"","","read","","","","","","",0,,,,,
33,"The Lord of the Rings (The Lord of the Rings, #1-3)","J.R.R. Tolkien","Tolkien, J.R.R.","",="0618640150",="9780618640157",0,"4.44","Houghton Mifflin Harcourt","Paperback","1216",2005,1954,,2015/03/07,"currently-reading","currently-reading (#6)","currently-reading",,"",,,,,0,,,,,
18512,"The Return of the King (The Lord of the Rings, #3)","J.R.R. Tolkien","Tolkien, J.R.R.","",="0345339738",="9780345339737",0,"4.49","Del Rey","Mass Market Paperback","490",1986,1954,,2015/03/06,"to-read","to-read (#127)","to-read",,"",,,,,0,,,,,
15241,"The Two Towers (The Lord of the Rings, #2)","J.R.R. Tolkien","Tolkien, J.R.R.","",="0618346260",="9780618346264",0,"4.39","Mariner Books","Paperback","322",2003,1954,,2015/03/06,"currently-reading","currently-reading (#8)","currently-reading",,"",,,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien","Tolkien, J.R.R.","",="0618346252",="9780618346257",4,"4.31","Houghton Mifflin Harcourt","Paperback","398",2003,1954,2015/03/10,2015/03/06,"","","read","Great Book. I see so many elements of fantasy that I have read over time in other books. Its cool to read one of the originals and to appreciate Tolkien's unique imagination. My favorite parts are the power of the ring in the thoughts and wills of the fellowship. I love the character development and change. These are the good parts that the movie cannot capture. ","","","","","",0,,,,,
60551,"The Book on the Taboo Against Knowing Who You Are","Alan W. Watts","Watts, Alan W.","",="0679723005",="9780679723004",0,"4.27","Vintage","Paperback","163",1989,1966,,2015/02/15,"to-read","to-read (#126)","to-read",,"",,,,,0,,,,,
2547,"The Prophet","Kahlil Gibran","Gibran, Kahlil","",="000100039X",="9780001000391",0,"4.21","Rupa & Co","Paperback","240",2010,1923,,2015/02/15,"to-read","to-read (#125)","to-read",,"",,,,,0,,,,,
99208,"The Monkey Wrench Gang (Monkey Wrench Gang, #1)","Edward Abbey","Abbey, Edward","",="0061129763",="9780061129766",4,"4.08","Harper Perennial","Paperback","421",2006,1975,2014/12/22,2015/02/01,"","","read","","",,,,,0,,,,,
18144124,"I Am Pilgrim (Pilgrim, #1)","Terry Hayes","Hayes, Terry","",="1439177724",="9781439177723",5,"4.20","Atria/Emily Bestler Books","Hardcover","624",2014,2013,2015/01/29,2015/01/17,"","","read",,"",,,,,0,,,,,
23196,"The River Why","David James Duncan","Duncan, David James","",="0553344862",="9780553344868",0,"4.24","Bantam Books","Paperback","304",1984,1983,,2014/10/12,"to-read, friends-have-read, adventure-fiction","to-read (#124), friends-have-read (#35), adventure-fiction (#29)","to-read",,"",,,,,0,,,,,
122600,"Iron John: A Book About Men","Robert Bly","Bly, Robert","",="0306813769",="9780306813764",0,"3.82","Da Capo Press","Paperback","288",2004,1984,,2014/10/12,"currently-reading, psycology","currently-reading (#5), psycology (#23)","currently-reading",,"",,,,,0,,,,,
6426403,"A Praying Life: Connecting with God in a Distracting World","Paul E. Miller","Miller, Paul E.","",="1600063004",="9781600063008",0,"4.28","NavPress Publishing Group","Paperback","277",2009,2009,,2014/10/12,"currently-reading, christian","currently-reading (#4), christian (#36)","currently-reading",,"",,,,,0,,,,,
92121,"Nine Princes in Amber","Roger Zelazny","Zelazny, Roger","",="0380014300",="9780380014309",0,"4.12","Avon Books","Mass Market Paperback","175",1986,1970,,2014/10/11,"to-read, adventure-fiction","to-read (#123), adventure-fiction (#28)","to-read",,"",,,,,0,,,,,
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)","Ursula K. Le Guin","Guin, Ursula K. Le","",="0553383043",="9780553383041",0,"3.97","Bantam Spectra","Paperback","183",2004,1968,,2014/10/11,"to-read, adventure-fiction","to-read (#122), adventure-fiction (#27)","to-read",,"",,,,,0,,,,,
18423,"The Left Hand of Darkness (Hainish Cycle, #4)","Ursula K. Le Guin","Guin, Ursula K. Le","",="0441007317",="9780441007318",0,"4.04","Ace","Paperback","304",2000,1969,,2014/10/11,"to-read, sci-fi","to-read (#121), sci-fi (#6)","to-read",,"",,,,,0,,,,,
77566,"Hyperion (Hyperion Cantos, #1)","Dan Simmons","Simmons, Dan","",="0553283685",="9780553283686",0,"4.17","Bantam Spectra","Mass Market Paperback","483",1990,1989,,2014/10/11,"to-read, sci-fi","to-read (#120), sci-fi (#5)","to-read",,"",,,,,0,,,,,
46654,"The Foundation Trilogy (Foundation, #1-3)","Isaac Asimov","Asimov, Isaac","",="0380508567",="9780380508563",0,"4.37","","Paperback","679",1974,1951,,2014/10/11,"to-read, sci-fi","to-read (#119), sci-fi (#4)","to-read",,"",,,,,0,,,,,
153234,"Built to Last: Successful Habits of Visionary Companies","James C. Collins","Collins, James C.","Jerry I. Porras, James C. Collins",="0060516402",="9780060516406",0,"3.93","HarperBusiness","Paperback","368",1900,1994,,2014/10/11,"to-read, best-business","to-read (#118), best-business (#24)","to-read",,"",,,,,0,,,,,
4924862,"I Will Teach You To Be Rich","Ramit Sethi","Sethi, Ramit","",="0761147489",="9780761147480",0,"4.02","Workman Publishing Company","Paperback","266",2009,2009,,2014/10/11,"to-read, economics-and-financial","to-read (#117), economics-and-financial (#7)","to-read",,"",,,,,0,,,,,
12742309,"Reinventing Fire: Bold Business Solutions for the New Energy Era","Amory B. Lovins","Lovins, Amory B.","Rocky Mountain Institute",="1603583718",="9781603583718",3,"3.94","Chelsea Green Publishing Company","Hardcover","334",2011,2011,2012/11/01,2014/10/11,"economics-and-financial","economics-and-financial (#6)","read","","","","","","",0,,,,,
13766064,"The Psychology Book","Nigel C. Benson","Benson, Nigel C.","Joannah Ginsburg, Voula Grand, Merrin Lazyan, Marcus Weeks, Catherine Collin",="0756689708",="9780756689704",0,"4.25","DK","Hardcover","352",2012,2011,,2014/10/11,"to-read, psycology","to-read (#116), psycology (#10)","to-read",,"",,,,,0,,,,,
1688201,"The Complete C.S. Lewis Signature Classics","C.S. Lewis","Lewis, C.S.","Kathleen Edwards",="0060506083",="9780060506087",0,"4.61","HarperOne","Hardcover","506",2002,2001,,2014/10/11,"to-read, christian","to-read (#115), christian (#35)","to-read",,"",,,,,0,,,,,
17269,"Six by Lewis: The Abolition of Man, the Great Divorce, Mere Christianity, Miracles, the Problem of Pain, the Screwtape Letters","C.S. Lewis","Lewis, C.S.","",="0684831198",="9780684831190",0,"4.58","Simon & Schuster (Paper)","Paperback","0",1996,1978,,2014/10/11,"to-read, christian","to-read (#114), christian (#34)","to-read",,"",,,,,0,,,,,
